id,kor
NIA_SL_WORD1501_REAL01_F,운전면허
NIA_SL_WORD1502_REAL01_F,골키퍼
NIA_SL_WORD1503_REAL01_F,구경
NIA_SL_WORD1504_REAL01_F,성토
NIA_SL_WORD1505_REAL01_F,권투
NIA_SL_WORD1506_REAL01_F,그립다
NIA_SL_WORD1507_REAL01_F,키우다
NIA_SL_WORD1508_REAL01_F,힘
NIA_SL_WORD1509_REAL01_F,망가지다
NIA_SL_WORD1510_REAL01_F,꿈
NIA_SL_WORD1511_REAL01_F,낚시
NIA_SL_WORD1512_REAL01_F,남매
NIA_SL_WORD1513_REAL01_F,운전면허정지
NIA_SL_WORD1514_REAL01_F,노래
NIA_SL_WORD1515_REAL01_F,놀다
NIA_SL_WORD1516_REAL01_F,누나
NIA_SL_WORD1517_REAL01_F,울보
NIA_SL_WORD1518_REAL01_F,여동생
NIA_SL_WORD1519_REAL01_F,상처
NIA_SL_WORD1520_REAL01_F,견제하다
NIA_SL_WORD1521_REAL01_F,견문
NIA_SL_WORD1522_REAL01_F,딸
NIA_SL_WORD1523_REAL01_F,유도
NIA_SL_WORD1524_REAL01_F,아내
NIA_SL_WORD1525_REAL01_F,마라톤
NIA_SL_WORD1526_REAL01_F,장녀
NIA_SL_WORD1527_REAL01_F,원한
NIA_SL_WORD1528_REAL01_F,엄마
NIA_SL_WORD1529_REAL01_F,썩다
NIA_SL_WORD1530_REAL01_F,바쁘다
NIA_SL_WORD1531_REAL01_F,남편
NIA_SL_WORD1532_REAL01_F,버릇
NIA_SL_WORD1533_REAL01_F,병
NIA_SL_WORD1534_REAL01_F,밥
NIA_SL_WORD1535_REAL01_F,부부
NIA_SL_WORD1536_REAL01_F,붓다
NIA_SL_WORD1537_REAL01_F,빗
NIA_SL_WORD1538_REAL01_F,죽다
NIA_SL_WORD1539_REAL01_F,사진기
NIA_SL_WORD1540_REAL01_F,생활
NIA_SL_WORD1541_REAL01_F,성공
NIA_SL_WORD1542_REAL01_F,자라다
NIA_SL_WORD1543_REAL01_F,세수
NIA_SL_WORD1544_REAL01_F,자다
NIA_SL_WORD1545_REAL01_F,수영
NIA_SL_WORD1546_REAL01_F,승부차기
NIA_SL_WORD1547_REAL01_F,시아버지
NIA_SL_WORD1548_REAL01_F,망신
NIA_SL_WORD1549_REAL01_F,시집
NIA_SL_WORD1550_REAL01_F,뚫다
NIA_SL_WORD1551_REAL01_F,면박
NIA_SL_WORD1552_REAL01_F,야구
NIA_SL_WORD1553_REAL01_F,똑똑하다
NIA_SL_WORD1554_REAL01_F,피곤
NIA_SL_WORD1555_REAL01_F,양치
NIA_SL_WORD1556_REAL01_F,오빠
NIA_SL_WORD1557_REAL01_F,출장
NIA_SL_WORD1558_REAL01_F,이사
NIA_SL_WORD1559_REAL01_F,들추어내다
NIA_SL_WORD1560_REAL01_F,아들딸
NIA_SL_WORD1561_REAL01_F,자살
NIA_SL_WORD1562_REAL01_F,8번째
NIA_SL_WORD1563_REAL01_F,맏형
NIA_SL_WORD1564_REAL01_F,테니스
NIA_SL_WORD1565_REAL01_F,할머니
NIA_SL_WORD1566_REAL01_F,할아버지
NIA_SL_WORD1567_REAL01_F,조상
NIA_SL_WORD1568_REAL01_F,조카
NIA_SL_WORD1569_REAL01_F,중독
NIA_SL_WORD1570_REAL01_F,연기
NIA_SL_WORD1571_REAL01_F,치매
NIA_SL_WORD1572_REAL01_F,탈
NIA_SL_WORD1573_REAL01_F,흩어지다
NIA_SL_WORD1574_REAL01_F,형
NIA_SL_WORD1575_REAL01_F,사별
NIA_SL_WORD1576_REAL01_F,환자
NIA_SL_WORD1577_REAL01_F,시작
NIA_SL_WORD1578_REAL01_F,밖
NIA_SL_WORD1579_REAL01_F,먹칠하다
NIA_SL_WORD1580_REAL01_F,견습
NIA_SL_WORD1581_REAL01_F,시험
NIA_SL_WORD1582_REAL01_F,고백
NIA_SL_WORD1583_REAL01_F,째려보다
NIA_SL_WORD1584_REAL01_F,관계
NIA_SL_WORD1585_REAL01_F,논란
NIA_SL_WORD1586_REAL01_F,교제
NIA_SL_WORD1587_REAL01_F,구걸
NIA_SL_WORD1588_REAL01_F,구조
NIA_SL_WORD1589_REAL01_F,부탁
NIA_SL_WORD1590_REAL01_F,글
NIA_SL_WORD1591_REAL01_F,대기
NIA_SL_WORD1592_REAL01_F,회사
NIA_SL_WORD1593_REAL01_F,기차
NIA_SL_WORD1594_REAL01_F,거슬리다
NIA_SL_WORD1595_REAL01_F,단어
NIA_SL_WORD1596_REAL01_F,심부름
NIA_SL_WORD1597_REAL01_F,상담
NIA_SL_WORD1598_REAL01_F,뻔뻔
